attempt,id,name,rarity,motion,difficulty,motionSpeed,restlessness,progressRateMult,escapeRateMult,jitter,specialChance,mixChance,edited,tackle,barPixels,playerGain,playerLoss,rumorSpeed,barHeight,seed,trackPixels,blind,outcome,seconds,frames
1,quorum,The Quorum,LEGENDARY,MIXED,191.0,2.02,1.9,0.82,1.769,1.4,0.0,0.0,0,NONE,120.0,1.0,1.0,1.0,0.33333334,-7065662378873399386,360,1,LOST,2.46667,148
2,quacken_tuna,Blue Sea Tuna,COMMON,DARTER,64.0,1.22,0.7,1.0,1.26,1.4,0.2,0.1,0,NONE,120.0,1.0,1.0,1.0,0.33333334,-3978160694625978903,360,1,CAUGHT,6.33336,380
3,false_dawn,False Dawn,LEGENDARY,MIXED,194.0,2.02,1.45,0.82,1.769,0.3,0.0,0.0,0,NONE,120.0,1.0,1.0,1.0,0.33333334,-6764394073237919740,360,1,LOST,9.00003,540
4,sensor_ghost,Hammerhead,RARE,MIXED,134.0,1.77,0.7,0.9,1.438,0.4,0.0,0.0,0,NONE,120.0,1.0,1.0,1.0,0.33333334,1574795798795900484,360,1,CAUGHT,7.78338,467
5,slipstream_moray,Slipstream Moray,LEGENDARY,MIXED,200.0,2.0,1.05,0.82,1.769,0.4,0.0,0.0,0,NONE,120.0,1.0,1.0,1.0,0.33333334,-295875058399138001,360,1,LOST,11.30000,678
6,abyssal_yellowback,Abyssal Yellowback,COMMON,MIXED,128.0,1.45,1.05,0.85,1.4,2.5,0.0,0.0,0,NONE,120.0,1.0,1.0,1.0,0.33333334,-5556407218218339437,360,1,LOST,5.53335,332
7,abyssal_ghost_manta,Abyssal Ghost Manta,LEGENDARY,MIXED,199.0,1.6,0.7,0.82,1.885,2.5,0.0,0.0,0,NONE,120.0,1.0,1.0,1.0,0.33333334,-1384160116969922240,360,1,LOST,15.68327,941
8,freight_clam,Freight Clam,UNCOMMON,SINKER,71.0,1.22,0.7,0.767,1.405,0.25,0.25,0.15,0,NONE,120.0,1.0,1.0,1.0,0.33333334,6649451270815376998,360,1,CAUGHT,10.33335,620
9,skelleton,Skelleton,RARE,LUNGER,117.0,1.54,1.45,0.9,1.438,1.4,0.25,0.15,0,NONE,120.0,1.0,1.0,1.0,0.33333334,1982331087029914738,360,1,LOST,15.29994,918
10,salmon,Storm Salmon,UNCOMMON,DARTER,97.0,1.14,0.7,0.95,1.322,1.5,0.2,0.12,0,NONE,120.0,1.0,1.0,1.0,0.33333334,-4331950744046737757,360,1,CAUGHT,5.55002,333
11,larva,Larva,UNCOMMON,TWITCHER,73.0,1.43,1.45,0.974,1.427,0.6,0.05,0.05,0,NONE,120.0,1.0,1.0,1.0,0.33333334,-8111244441498977581,360,1,CAUGHT,5.46668,328
12,longliner,The Imposter,LEGENDARY,MIXED,187.0,1.5,1.05,0.697,1.504,0.5,0.0,0.0,0,NONE,120.0,1.0,1.0,1.0,0.33333334,6232408994456947477,360,1,LOST,18.36656,1102
13,lantern_jack,Lantern Jack,LEGENDARY,MIXED,196.0,1.76,0.7,0.697,1.504,0.6,0.0,0.0,0,NONE,120.0,1.0,1.0,1.0,0.33333334,1385358579821940051,360,1,LOST,16.01659,961
14,greenbelly_rockfish,Abyssal Rockfish,EPIC,MIXED,180.0,1.55,1.05,0.78,1.65,1.0,0.0,0.0,0,NONE,120.0,1.0,1.0,1.0,0.33333334,-8662715112505556161,360,1,LOST,8.55004,513
15,prawn,Hyperprawn,COMMON,TWITCHER,42.0,1.2,1.9,1.076,1.231,0.7,0.12,0.05,0,NONE,120.0,1.0,1.0,1.0,0.33333334,-8304190787788445627,360,1,LOST,6.46670,388
16,blue_ochtogon_magifin,Blue Ochtogon Magifin,RARE,MIXED,122.0,1.54,1.45,0.9,1.438,1.0,0.0,0.0,0,NONE,120.0,1.0,1.0,1.0,0.33333334,-70475522198394965,360,1,LOST,19.91653,1195
17,quacken_stinkfish,Stinkfish,COMMON,TWITCHER,35.0,0.89,1.45,1.076,1.231,1.0,0.12,0.05,0,NONE,120.0,1.0,1.0,1.0,0.33333334,-323014639423971054,360,1,CAUGHT,7.13337,428
18,octopus_yellow,Yellow King,EPIC,MIXED,150.0,1.65,1.05,0.85,1.61,0.45,0.0,0.0,0,NONE,120.0,1.0,1.0,1.0,0.33333334,-3640001676168217250,360,1,CAUGHT,18.49989,1110
19,red_snapper,Red Snapper,UNCOMMON,LUNGER,85.0,1.43,1.05,0.807,1.124,1.0,0.2,0.12,0,NONE,120.0,1.0,1.0,1.0,0.33333334,-627697731211178565,360,1,CAUGHT,31.43303,1886
20,false_dawn,False Dawn,LEGENDARY,MIXED,194.0,2.02,1.45,0.82,1.769,0.3,0.0,0.0,0,NONE,120.0,1.0,1.0,1.0,0.33333334,3719059468790905318,360,1,LOST,2.36667,142
21,lantern_jack,Lantern Jack,LEGENDARY,MIXED,196.0,1.76,0.7,0.697,1.504,0.6,0.0,0.0,0,NONE,120.0,1.0,1.0,1.0,0.33333334,-3684643766223765467,360,1,LOST,21.93317,1316
22,bar_jack,Silver Slipstreamer,COMMON,DARTER,64.0,1.08,0.7,1.0,1.26,1.4,0.2,0.1,0,NONE,120.0,1.0,1.0,1.0,0.33333334,-378285971425288829,360,1,CAUGHT,5.45002,327
23,catfish,Long Waller,COMMON,SINKER,38.0,0.89,0.7,0.807,1.339,1.0,0.3,0.15,0,NONE,120.0,1.0,1.0,1.0,0.33333334,1094266893071744240,360,1,CAUGHT,4.30000,258
24,miscount,Relic Crab,EPIC,MIXED,145.0,1.4,1.05,0.722,1.369,0.6,0.0,0.0,0,NONE,120.0,1.0,1.0,1.0,0.33333334,8760355764590281926,360,1,LOST,4.23333,254
25,starfish_crystal,Crystal Star,RARE,SINKER,107.0,1.54,1.05,0.855,1.797,0.35,0.25,0.15,0,NONE,120.0,1.0,1.0,1.0,0.33333334,-5526931062496043501,360,1,CAUGHT,24.31647,1459
26,larva_caterpillar,Waterpillar,COMMON,TWITCHER,47.0,1.04,0.7,1.076,1.231,0.5,0.12,0.05,0,NONE,120.0,1.0,1.0,1.0,0.33333334,7874904421270691200,360,1,CAUGHT,17.31657,1039
27,cutout,Volley Dolphin,EPIC,MIXED,152.0,1.9,1.45,0.977,1.851,0.35,0.0,0.0,0,NONE,120.0,1.0,1.0,1.0,0.33333334,5974624266433945792,360,1,LOST,2.88333,173
28,squid_blue,Mind Flayer,EPIC,LUNGER,145.0,1.65,1.05,0.722,1.369,0.45,0.3,0.2,0,NONE,120.0,1.0,1.0,1.0,0.33333334,-5854989614353165564,360,1,CAUGHT,6.83337,410
