attempt,id,name,rarity,motion,difficulty,motionSpeed,restlessness,progressRateMult,escapeRateMult,jitter,specialChance,mixChance,edited,tackle,barPixels,playerGain,playerLoss,rumorSpeed,barHeight,seed,trackPixels,blind,outcome,seconds,frames
1,yellowtail_amberjack,Amberjack,COMMON,DARTER,60.0,1.08,1.05,0.85,1.071,1.0,0.2,0.1,0,NONE,120.0,1.0,1.0,1.0,0.33333334,1191075471853648686,360,1,CAUGHT,8.85004,531
2,keystone,Bulkhead Turtle,RARE,SINKER,106.0,1.31,0.7,0.727,1.528,0.2,0.25,0.15,0,NONE,120.0,1.0,1.0,1.0,0.33333334,1421686627126664953,360,1,LOST,3.51666,211
3,red_snapper,Red Snapper,UNCOMMON,LUNGER,85.0,1.43,1.05,0.807,1.124,1.0,0.2,0.12,0,NONE,120.0,1.0,1.0,1.0,0.33333334,-8352485070187028654,360,1,CAUGHT,12.96664,778
4,largemouth_bass,Mossy Bass,COMMON,SMOOTH,52.0,1.26,1.05,1.15,1.449,1.0,0.2,0.1,0,NONE,120.0,1.0,1.0,1.0,0.33333334,7878122806032218021,360,1,CAUGHT,30.09971,1806
5,starfish_green,Leafy Star,UNCOMMON,MIXED,90.0,1.43,1.05,0.807,1.124,0.5,0.0,0.0,0,NONE,120.0,1.0,1.0,1.0,0.33333334,-7510804668364563312,360,1,LOST,12.74998,765
6,longliner,The Imposter,LEGENDARY,MIXED,187.0,1.5,1.05,0.697,1.504,0.5,0.0,0.0,0,NONE,120.0,1.0,1.0,1.0,0.33333334,-4549824204426897317,360,1,LOST,9.56669,574
7,atlantic_cod,Berylcuda,COMMON,WEAVER,52.0,1.08,1.05,1.0,1.26,1.0,0.2,0.1,0,NONE,120.0,1.0,1.0,1.0,0.33333334,8181078012223999645,360,1,CAUGHT,15.03328,902
8,roach,Coach,COMMON,TWITCHER,45.0,1.2,1.45,1.076,1.231,1.0,0.12,0.05,0,NONE,120.0,1.0,1.0,1.0,0.33333334,-5051566476203814228,360,1,CAUGHT,3.30000,198
9,slipstream_moray,Slipstream Moray,LEGENDARY,MIXED,200.0,2.0,1.05,0.82,1.769,0.4,0.0,0.0,0,NONE,120.0,1.0,1.0,1.0,0.33333334,-1350704247959529991,360,1,LOST,2.91666,175
10,lantern_jack,Lantern Jack,LEGENDARY,MIXED,196.0,1.76,0.7,0.697,1.504,0.6,0.0,0.0,0,NONE,120.0,1.0,1.0,1.0,0.33333334,5647808442470187053,360,1,LOST,28.34974,1701
11,squid_blue,Mind Flayer,EPIC,LUNGER,145.0,1.65,1.05,0.722,1.369,0.45,0.3,0.2,0,NONE,120.0,1.0,1.0,1.0,0.33333334,7809393041076718694,360,1,CAUGHT,3.61666,217
12,octopus_red,Deep Terror,EPIC,LUNGER,147.0,1.9,1.45,0.85,1.61,0.45,0.3,0.2,0,NONE,120.0,1.0,1.0,1.0,0.33333334,-715359056926080105,360,1,LOST,15.59993,936
13,cutout,Volley Dolphin,EPIC,MIXED,152.0,1.9,1.45,0.977,1.851,0.35,0.0,0.0,0,NONE,120.0,1.0,1.0,1.0,0.33333334,-4769732754350781649,360,1,CAUGHT,8.91670,535
14,hull_grazer,Hull Grazer,RARE,SINKER,102.0,1.31,1.05,0.727,1.528,0.3,0.25,0.15,0,NONE,120.0,1.0,1.0,1.0,0.33333334,520804458335060688,360,1,LOST,6.53336,392
15,abyssal_razorclam,Abyssal Ridge Clam,RARE,LUNGER,163.0,1.55,1.05,0.78,1.7,1.6,0.25,0.15,0,NONE,120.0,1.0,1.0,1.0,0.33333334,-2796351101089536028,360,1,LOST,4.38334,263
16,quorum,The Quorum,LEGENDARY,MIXED,191.0,2.02,1.9,0.82,1.769,1.4,0.0,0.0,0,NONE,120.0,1.0,1.0,1.0,0.33333334,4981001241035305986,360,1,CAUGHT,4.68334,281
17,octopus_yellow,Yellow King,EPIC,MIXED,150.0,1.65,1.05,0.85,1.61,0.45,0.0,0.0,0,NONE,120.0,1.0,1.0,1.0,0.33333334,2258200677751388398,360,1,LOST,2.65000,159
