attempt,id,name,rarity,motion,difficulty,motionSpeed,restlessness,progressRateMult,escapeRateMult,jitter,specialChance,mixChance,edited,tackle,barPixels,playerGain,playerLoss,rumorSpeed,barHeight,seed,trackPixels,blind,outcome,seconds,frames
1,hull_grazer,Hull Grazer,RARE,SINKER,102.0,1.31,1.05,0.727,1.528,0.3,0.25,0.15,0,NONE,120.0,1.0,1.0,1.0,0.33333334,8617072081389046971,360,1,LOST,15.01661,901
2,longliner,The Imposter,LEGENDARY,MIXED,187.0,1.5,1.05,0.697,1.504,0.5,0.0,0.0,0,NONE,120.0,1.0,1.0,1.0,0.33333334,-4746970040248943143,360,1,LOST,6.13336,368
3,quorum,The Quorum,LEGENDARY,MIXED,191.0,2.02,1.9,0.82,1.769,1.4,0.0,0.0,0,NONE,120.0,1.0,1.0,1.0,0.33333334,-8823295376614845740,360,1,LOST,15.19994,912
4,keystone,Bulkhead Turtle,RARE,SINKER,106.0,1.31,0.7,0.727,1.528,0.2,0.25,0.15,0,NONE,120.0,1.0,1.0,1.0,0.33333334,-3328995222495770969,360,1,CAUGHT,11.78333,707
5,octopus_red,Deep Terror,EPIC,LUNGER,147.0,1.9,1.45,0.85,1.61,0.45,0.3,0.2,0,NONE,120.0,1.0,1.0,1.0,0.33333334,-180340868874507094,360,1,LOST,2.08333,125
6,octopus_yellow,Yellow King,EPIC,MIXED,150.0,1.65,1.05,0.85,1.61,0.45,0.0,0.0,0,NONE,120.0,1.0,1.0,1.0,0.33333334,-1496379856420743413,360,1,LOST,10.41668,625
7,egg,Egg,RARE,LUNGER,119.0,1.31,0.7,0.9,1.438,0.15,0.25,0.15,0,NONE,120.0,1.0,1.0,1.0,0.33333334,-6137800027035625760,360,1,CAUGHT,3.20000,192
8,pufferfish_blown,Ballooner,UNCOMMON,FLOATER,72.0,1.43,1.05,0.767,1.405,1.6,0.25,0.15,0,NONE,120.0,1.0,1.0,1.0,0.33333334,1339658166208149612,360,1,LOST,16.13326,968
9,yellowtail_amberjack,Amberjack,COMMON,DARTER,60.0,1.08,1.05,0.85,1.071,1.0,0.2,0.1,0,NONE,120.0,1.0,1.0,1.0,0.33333334,7987360846918574810,360,1,LOST,10.31668,619
10,squid_blue,Mind Flayer,EPIC,LUNGER,145.0,1.65,1.05,0.722,1.369,0.45,0.3,0.2,0,NONE,120.0,1.0,1.0,1.0,0.33333334,2081852662708862412,360,1,CAUGHT,7.03337,422
